MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO		
16	S69MC0016C		9 BINJAI PARK 589822	9A BINJAI PARK - SINGAPORE 589822	ACTIVE	64665359	13/05/1969	NIL			
17	S69MC0017K	BINJAI PARK	3/A/B BINJAI PARK 589819	1014 GEYLANG EAST AVENUE 3 07-216 SINGAPORE 389729	ACTIVE	68440801	13/05/1969	HALLEY SERVICES PTE LTD	68440801		
18	S69MC0018F		7/A/B BINJAI PARK 589821	1014 GEYLANG EAST AVENUE 3 07-216 SINGAPORE 389729	ACTIVE	68440801	13/05/1969	Halley Service Pte Ltd	68440801		
19	S69MC0019B	VALLEY MANSIONS	58A OXLEY ROAD 238637	50-68 OXLEY ROAD - SINGAPORE 238643	ACTIVE	62929090	13/05/1969	HALLEY SERVICES PTE LTD	68440801		
20	S69MC0020K	MANDALAY COURT	31/A-G MANDALAY ROAD 308212	TERMINATED JALAN BESAR - SINGAPORE 	TERMINATED		09/06/1969	HALLEY SERVICES PTE LTD	68440801		
21	S69MC0021F		8C LEWIS ROAD 258591	8 LEWIS ROAD - SINGAPORE 258593	ACTIVE	64238998	24/07/1969	HALLEY SERVICES PTE LTD	68440801		
22	S69MC0022B			71 LORONG 23 GEYLANG 06-01 SINGAPORE 388386	TERMINATED	67412422	21/08/1969	BRONSAN INTERS-FURNI CONTRACTS & SERVICES	92205693		
23	S69MC0023J			130A TANJONG KATONG ROAD - SINGAPORE 436973	ACTIVE	67448947	05/09/1969	MCST			
24	S69MC0024E	SPRING COURT / SPRING MANSION	3/A/B/C/D JALAN DUSUN 329367	574 BALESTIER ROAD - SINGAPORE 329889	TERMINATED	90220505	26/09/1969	PRIME MANAGEMENT SERVICES	90220505		
25	S69MC0025A	GOLDHILL TOWERS	38 GOLDHILL AVENUE 309021	38-44 GOLDHILL AVENUE - SINGAPORE 309021	ACTIVE	66653880	15/10/1969	KIRIN PROPERTIES & SERVICES	67336845		
26	S69MC0026H		30B FLANDERS SQUARE 209310	30 FLANDERS SQUARE - SINGAPORE 209310	ACTIVE	62981936	18/11/1969	NIL			
27	S69MC0027D		28/A/B FLANDERS SQUARE 209309	288 TAMPINES STREET 22 02-346 SINGAPORE 520288	ACTIVE	67812736	18/11/1969	NIL			
28	S69MC0028L		26 FLANDERS SQUARE 209308	6 TAMAN SIREH - SINGAPORE 535199	ACTIVE	62868382	18/11/1969	NIL			
29	S69MC0029G		24/A/B FLANDERS SQUARE 209307	24A FLANDERS SQUARE - SINGAPORE 209307	ACTIVE	62967993	18/11/1969	NIL			
30	S69MC0030D		22/A/B FLANDERS SQUARE 209306	30 CASSIA CRESCENT 08-04 SINGAPORE 391030	ACTIVE	63485324	18/11/1969	NIL			
31	S69MC0031L		20B FLANDERS SQUARE 208305	40L HERTFORD ROAD - SINGAPORE 219392	ACTIVE		18/11/1969	NIL			
32	S69MC0032G		18 FLANDERS SQUARE 209304	18 FLANDERS SQUARE - SINGAPORE 209304	ACTIVE	67486287	18/11/1969	NIL			
33	S69MC0033C		16B FLANDERS SQUARE 209303	22 BOON KENG ROAD 10-07 SINGAPORE 330022	ACTIVE	62969476	19/11/1969	NIL			
34	S69MC0034K		14/A/B FLANDERS SQUARE 209301	14 FLANDERS SQUARE - SINGAPORE 209301	ACTIVE	62924369	19/11/1969	NIL			
35	S69MC0035F		12/A/B FLANDERS SQUARE 209300	65 NAMLY PLACE - SINGAPORE 267210	ACTIVE	96215411	19/11/1969	NIL			
36	S69MC0036B	FLANDERS SQUARE	10B FLANDERS SQUARE 209299	126C KIM TIAN ROAD 07-513 SINGAPORE 163126	ACTIVE	90291308	19/11/1969	NIL			
37	S69MC0037J		8B FLANDERS SQUARE 209298	8A FLANDERS SQUARE - SINGAPORE 209298	ACTIVE		19/11/1969	MCST			
38	S69MC0038E		6/A/B FLANDERS SQUARE 209297	22B LORONG 23 GEYLANG - SINGAPORE 388362	ACTIVE	67422250	19/11/1969	NIL			
39	S69MC0039A		4/A/B FLANDERS SQUARE 209296	4 FLANDERS SQUARE - SINGAPORE 209296	ACTIVE		19/11/1969	NIL			
40	S69MC0040J		2/A/B FLANDERS SQUARE 209295	2 FLANDERS SQUARE - SINGAPORE 209295	ACTIVE		19/11/1969	NIL			
41	197903066R	PEONY MANSION	46 BENCOOLEN STREET 189624	20 MAXWELL ROAD 12-01A SINGAPORE 069113	ACTIVE	65354600	22/11/1969	SCMS PROPERTY MANAGEMENT PTE LTD	65354600		
42	S69MC0042A	THE SINGAPORE-JOHORE EXPRESSN LTD	4 WHAMPOA DRIVE 327715	4B WHAMPOA DRIVE - SINGAPORE 327715	ACTIVE	62510576	29/11/1969	NIL			
43	S69MC0043H		10 WHAMPOA DRIVE 327720	17 JOO CHIAT LANE 01-07 SINGAPORE 428096	ACTIVE	92788338	29/11/1969	NIL			
44	S69MC0044D	ROBIN ROAD	4 ROBIN ROAD 258177	6 ROBIN ROAD - SINGAPORE 258183	ACTIVE		22/12/1969	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288		
45	S70MC0045B		36/A/B SEAH STREET 188392	35B SEAH STREET - SINGAPORE 188391	ACTIVE	63361027	30/01/1970	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288		
46	S70MC0046J	NEWTON COURT	118C NEWTON ROAD 307973	TERMINATED SIMS AVENUE - SINGAPORE 	TERMINATED	68421731	17/02/1970	LANDSFIELD PROPERTY CONSULTANTS PTE LTD	68421731		
47	S70MC0047E	HOOVER FLATS	11/A/B/C/D JALAN RAMA RAMA 329095	TERMINATED JALAN KILANG BARAT - SINGAPORE 	TERMINATED		06/03/1970	NIL			
48	S70MC0048A		38C CHANGI ROAD 419701	56A LORONG 32 GEYLANG - SINGAPORE 398316	ACTIVE	96303848	23/03/1970	NIL			
49	S70MC0049H		3E LORONG 12 GEYLANG 398984	12 LORONG 12 GEYLANG - SINGAPORE 398984	ACTIVE	67483878	31/03/1970	NIL			
50	S70MC0050E			3H LORONG 12 GEYLANG - SINGAPORE 398984	ACTIVE	62800306	31/03/1970	NIL			
51	S70MC0051A		30B SEAH STREET 188383	27 SEAH STREET - SINGAPORE 188383	ACTIVE	63384968	01/04/1970	NIL			
52	S70MC0052H	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		23/04/1970	NIL			
53	S70MC0053D		69B LORONG 16 GEYLANG 398888	1020B UPPER SERANGOON ROAD - SINGAPORE 534758	ACTIVE	98283062	04/05/1970	NIL			
54	S70MC0054L	SERANGOON MANSION	26C RACE COURSE LANE 218743	2 BALESTIER ROAD 03-669 SINGAPORE 320002	TERMINATED	90015253	25/05/1970	NIL			
55	S70MC0055G	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		13/06/1970	NIL			
56	S70MC0056C	NA	9A/B SING AVENUE 217864	21A SING AVENUE - SINGAPORE 217869	ACTIVE	62987519	26/06/1970	NIL			
57	S70MC0057K	ENG AUN MANSION	322/A/B/C THOMSON ROAD 307658	310 THOMSON ROAD - SINGAPORE 307657	ACTIVE	64111650	30/06/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
58	S70MC0058F			TERMINATED  - SINGAPORE 	TERMINATED		15/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
59	S70MC0059B		74 LORONG 25A GEYLANG 388257	74-B LORONG 25A GEYLANG - SINGAPORE 388257	ACTIVE	67484575	17/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
60	S70MC0060K		76 LORONG 25A GEYLANG 388258	76 LORONG 25A GEYLANG - SINGAPORE 388258	ACTIVE	68379068	17/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
61	S70MC0061F		78 LORONG 25A GEYLANG 388259	110 JALAN JURONG KECHIL 02-01 SINGAPORE 598606	ACTIVE	64681949	17/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
62	S70MC0062B		80 LORONG 25A GEYLANG 388260	80 LORONG 25A GEYLANG - SINGAPORE 388260	ACTIVE		17/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
63	S70MC0063J	DRAGON MANSION	14 SPOTTISWOODE PARK ROAD 088641	2 KALLANG AVENUE 09-28 SINGAPORE 339407	TERMINATED	67356255	12/09/1970	AV CONSULTANTS PTE LTD	67356255		
64	S70MC0064E		39B TRURO ROAD 217579	37B TRURO ROAD - SINGAPORE 217577	ACTIVE	62995947	14/09/1970	NIL			
65	S70MC0065A	MOULMEIN RISE		TERMINATED  - SINGAPORE 	TERMINATED		21/09/1970	NIL			
66	S70MC0066H		163 MACPHERSON ROAD 348532	101A UPPER CROSS STREET 11-14 SINGAPORE 058358	ACTIVE	65364336	02/10/1970	NIL			
67	S70MC0067D			71 JALAN WANGI - SINGAPORE 349385	ACTIVE	62812355	02/10/1970	NIL			
68	S70MC0068L		73B JALAN WANGI 349386	73 JALAN WANGI - SINGAPORE 349386	ACTIVE	62887168	02/10/1970	MCST			
69	S70MC0069G		77 JALAN WANGI 349388	77 JALAN WANGI - SINGAPORE 349388	ACTIVE		02/10/1970	MCST			
70	S70MC0070D	UNITED MANSION		540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	68421731	24/10/1970	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731		
71	S70MC0071L		56/A/B/C MARTABAN ROAD 328666	TERMINATED YUK TONG AVENUE - SINGAPORE 596306	TERMINATED	64661342	23/11/1970	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
72	S70MC0072G	DRAGON VIEW PK (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		17/11/1970	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
73	S70MC0073C	Management Corporation Strata Title No. 073	2 GRAY LANE 438938	6B GRAY LANE 02-06 SINGAPORE 438935	ACTIVE	67441124	17/11/1970	MCST			
74	S70MC0074K	HONG THYE HOUSE	7E LORONG 39 GEYLANG 387867	701 GEYLANG ROAD 02-04 SINGAPORE 389687	ACTIVE		19/11/1970	PROMPTSERVE PTY MGT PTE LTD	91776959		
75	s70mc0075f	BOTANIC GARDENS MANSION	10 TAMAN SERASI 257721	2	10	18 TAMAN SERASI - SINGAPORE 257718	ACTIVE	64732588	21/12/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
76	S71MC0076G	MARTABAN COURT	T MARTABAN ROAD 328644	TERMINATED TECH PARK CRESCENT - SINGAPORE 	TERMINATED		29/01/1971	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
77	S71MC0077C	ST. MARTIN'S PL (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		05/02/1971	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
78	S71MC0078K	FORD MANSION (strata scheme terminated)	7D FORD AVENUE 268685	5 TEMASEK BOULEVARD 07-02 SINGAPORE 038985	TERMINATED	62218288	15/02/1971	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288		
79	S71MC0079F	HOLLAND TOWER	10A HOLLAND HEIGHTS 249510	10 HOLLAND HEIGHTS - SINGAPORE 249510	ACTIVE	63387222	16/02/1971	HBA GROUP PROPERTY CONSULTANTS PTE LTD	63387222		
80	S71MC0080C		345C TELOK KURAU ROAD 423871	345 TELOK KURAU ROAD - SINGAPORE 423871	ACTIVE		20/02/1971	HBA GROUP PROPERTY CONSULTANTS PTE LTD	63387222		
81	S71MC0081K	PEAKVILLE MANSION	20 JALAN PARI KIKIS 488551	18B JALAN PARI KIKIS - SINGAPORE 488546	ACTIVE	98457450	27/02/1971	MCST			
82	s71mc0082f	27 BALMORAL PARK	27 BALMORAL PARK 259855	21 BUKIT BATOK CRESCENT 26-83 SINGAPORE 658065	ACTIVE	64111670	26/03/1971	Chamber Property Management Services Pte Ltd	64111670		
83	S7728574A	MANAGEMENT CORPN STRATA TITLE PLAN NO 0083	33H BALMORAL PARK 259858	31 BALMORAL PARK 01-01 SINGAPORE 259858	ACTIVE	6732 2926	26/03/1971	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD 	64111696		
84	S71MC0084J		77A HILLCREST ROAD 289204	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	63370087	30/03/1971	EARNEST MANAGEMENT SERVICES PTE LTD	63370087		
85	S71MC0085E		98E UPPER EAST COAST ROAD 455237	98A UPPER EAST COAST ROAD - SINGAPORE 455237	ACTIVE	64448194	19/04/1971	EARNEST MANAGEMENT SERVICES PTE LTD	63370087		
86	S71MC0086A	GOLDHILL MANSION (Terminated)	14B JERVOIS CLOSE 249104	TERMINATED JERVOIS CLOSE - SINGAPORE 	TERMINATED		11/05/1971	ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD	64497141		
87	S71MC0087H	QUE LIN GARDEN (Terminated)	35F ST. THOMAS WALK 238123	35-43 ST. THOMAS WALK - SINGAPORE 238123	TERMINATED	96737817	27/05/1971	GARDENEA MANAGEMENT SERVICES	96737817		
88	S71MC0088D	RAINBOW MANSION	126 GRANGE ROAD 249601	9 PENANG ROAD 07-18 SINGAPORE 238459	ACTIVE	63362453	01/06/1971	PIONEER ENTERPRISE PTE LTD	63362453		
89	S71MC0089L			TERMINATED  - SINGAPORE 	TERMINATED		02/07/1971	PIONEER ENTERPRISE PTE LTD	63362453		
90	S71MC0090H		9A LORONG 17 GEYLANG 388542	11A LORONG 17 GEYLANG - SINGAPORE 388542	ACTIVE	67443388	21/07/1971				
91	S71MC0091D	CARPMAEL LODGE	6F CARPMAEL ROAD 429754		ACTIVE	6590036357	06/08/1971	MCST			
92	S71MC0092L	GOLDHILL CENTRE	169/A/B THOMSON ROAD 307632	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	68421731	07/08/1971	Total Estate Management Services Pte Ltd	63452117		
93	S71MC0093G		27A LORONG 15 GEYLANG 388612	27 LORONG 15 GEYLANG - SINGAPORE 388614	ACTIVE	67458766	06/08/1971				
94	S71MC0094C		8B LORONG 7 GEYLANG 388792	8B LORONG 7 GEYLANG - SINGAPORE 388792	TERMINATED		22/09/1971	MCST			
95	S71MC0095K			TERMINATED  - SINGAPORE 	TERMINATED		25/09/1971	MCST			
96	S71MC0096F			TERMINATED  - SINGAPORE 	TERMINATED		25/09/1971	MCST			
97	S71MC0097B			TERMINATED  - SINGAPORE 	TERMINATED		25/09/1971	MCST			
98	S71MC0098J			TERMINATED  - SINGAPORE 	TERMINATED		25/09/1971	MCST			
99	S71MC0099E			TERMINATED  - SINGAPORE 	TERMINATED		25/09/1971	MCST			
01-3288	T08SM0001E	TRADEHUB 21	18 BOON LAY WAY 609966	18 BOON LAY WAY 01-143 SINGAPORE 609966	ACTIVE	67953518	14/07/2008	Newman & Goh Property Consultants Pte Ltd	62569333		
01-3429	T09SM0001K	ST. REGIS RESIDENCES	31 TANGLIN ROAD 247912	33 TANGLIN ROAD 01-05 SINGAPORE 247913	ACTIVE	62387101	15/10/2009	SavillsCKH Pte Ltd	63463238		
01-3440	T09MC0082G	ATRIUM RESIDENCES	9 LORONG 28 GEYLANG 398414	3 LORONG 28 GEYLANG 01-05 SINGAPORE 398408	ACTIVE	65090310	18/09/2009	Barringham International Property Management Pte Ltd	64664703		
01-3516	T10SM0001A	YEW TEE POINT	21 CHOA CHU KANG NORTH 6 689578	21 CHOA CHU KANG NORTH 6 02-01 SINGAPORE 689578	ACTIVE	64651986	12/01/2010		64651986		
01-3586	T11SM0008L	THE CENTRIS / JURONG POINT 2		1 JURONG WEST CENTRAL 2 03-07 SINGAPORE 648886	ACTIVE	67928838	05/09/2011	STARMALL PROPERTY MANAGEMENT PTE LTD	67928838		
01-3646	T11SM0010D	ION ORCHARD		02 ORCHARD TURN 06-01 SINGAPORE 238801	ACTIVE	62388228	05/12/2011		62388228		
01-3663	T11SM0001F	MIDVIEW CITY	18 SIN MING LANE 573960	18 SIN MING LANE 01-19 SINGAPORE 573960	ACTIVE	62569333	31/08/2011	Newman & Goh Property Consultants Pte Ltd	62569333		
01-3837	T12SM0001L			14 SCOTTS ROAD 06-00 SINGAPORE 228213	ACTIVE		27/07/2012				
01-3873	T13SM0001E	SCOTTS SQUARE		501 ORCHARD ROAD 11-01 SINGAPORE 238880	ACTIVE		10/01/2013				
100	S71MC0100J	ST THOMAS APT. (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		20/10/1971	MCST			
101	S71MC0101E		188-1B TANJONG KATONG ROAD 436990	188-1A TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	64740828	27/10/1971	MCST			
102	S71MC0102A			188-2B TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE		27/10/1971	MCST			
103	S71MC0103H		188-3B TANJONG KATONG ROAD 436990	188-3 TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	64446398	27/10/1971	MCST			
104	S71MC0104D		188-4B TANJONG KATONG ROAD 436990	188-4B TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	64404538	27/10/1971	N			
105	S71MC0105L			188-5A TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE		27/10/1971	N			
106	S71MC0106G			188-6 TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	64488996	27/10/1971	N			
107	S71MC0107C		188-7B TANJONG KATONG ROAD 593001	188-7 TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	64668110	27/10/1971	N			
108	S71MC0108K			1 PALM AVENUE - SINGAPORE 456520	ACTIVE	64465728	27/10/1971	N			
109	S71MC0109F		188-9B TANJONG KATONG ROAD 436990	188-9B TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE		27/10/1971	N			
110	S71MC0110C			363 JOO CHIAT ROAD - SINGAPORE 427608	ACTIVE	63458080	27/10/1971	N			
111	S71MC0111K	NORTHERN MANSION	99D MERGUI ROAD 219065	97 MERGUI ROAD - SINGAPORE 219065	TERMINATED	66653880	02/11/1971	PROPMAG MANAGEMENT SERVICES PTE LTD	66653880		
112	S71MC0112F		4B ST. GEORGES ROAD 328023	4 ST. GEORGES ROAD - SINGAPORE 328024	ACTIVE	62934697	23/11/1971	NIL			
113	S71MC0113B	JERVOIS COURT (Terminated)	16B JERVOIS CLOSE 249108	TERMINATED ALEXANDRA ROAD - SINGAPORE 	TERMINATED		06/12/1971	ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD	64497141		
114	S71MC0114J	enbloc	222/A-C BALESTIER ROAD 328686	80 MARINE PARADE ROAD 21-01 SINGAPORE 449269	TERMINATED		18/12/1971				
115	S71MC0115E			TERMINATED  - SINGAPORE 	TERMINATED		21/12/1971	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
116	S72MC0116F	MANAGEMENT CORPN STRATA TITLE PLAN NO 0116	18 SPOTTISWOODE PARK ROAD 088642	15 WEST COAST HIGHWAY 04-01 SINGAPORE 117861	TERMINATED	67792711	28/01/1972	STATURE REAL ESTATE ENTERPRISES PTE LTD	67792711		
117	S72MC0117B		64 LORONG N TELOK KURAU 425204	64 LORONG N TELOK KURAU - SINGAPORE 425204	ACTIVE		01/02/1972	MCST			
118	S72MC0118J	NIL	537A EAST COAST ROAD 429068	531A EAST COAST ROAD - SINGAPORE 429065	TERMINATED	63443988	01/02/1972				
119	S72MC0119E			14B HAIG AVENUE - SINGAPORE 438869	ACTIVE		05/02/1972	MCST			
120	S72MC0120B	BEE HWA COURT (Terminated)	17L OXLEY ROAD 238618	TERMINATED SIMS AVENUE - SINGAPORE 	TERMINATED		28/02/1972	LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh)	68421731		
121	S72MC0121J	BRIGHTS APARTMENT	57D IRRAWADDY ROAD 329551	51 IRRAWADDY ROAD - SINGAPORE 329551	TERMINATED	62551206	01/03/1972	LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh)	68421731		
122	S72MC0122E	JALAN TUA KONG		1557 KEPPEL ROAD 03-05B SINGAPORE 089066	ACTIVE	68420768	21/03/1972	Aladdin Management Solutions Pte Ltd	68420768		
123	S72MC0123A		79B LORONG 8 GEYLANG 399142	81A LORONG 8 GEYLANG - SINGAPORE 399143	ACTIVE	67445522	21/03/1972	MCST			
124	S72MC0124H	HERTFORD MANSION	18/A/B HERTFORD ROAD 219847	21 BRISTOL ROAD - SINGAPORE 219847	ACTIVE	93286849	27/03/1972	EMPIRE CITY CONSULTANTS PTE LTD	65130854		
125	S72MC0125D		458/A/B/C BALESTIER ROAD 329834	454 - 458 BALESTIER ROAD - SINGAPORE 329880	TERMINATED	63361214	01/01/1976	LOO & LEE SECRETARIAL & MANAGEMENT PTE LTD	63372410		
126	S72MC0126L	REALTY PARK	48/A LORONG 1 REALTY PARK 536957	1557 KEPPEL ROAD 03-05B SINGAPORE 089066	ACTIVE	68420768	30/03/1972	ALADDIN MANAGEMENT SOLUTIONS PTE LTD	68420768		
127	S72MC0127G		33 LORONG 17 GEYLANG 388557	33B LORONG 17 GEYLANG - SINGAPORE 388557	ACTIVE	62878532	30/03/1972	ALADDIN MANAGEMENT SOLUTIONS PTE LTD	68420768		
128	S72MC0128C	BAN GUAN PARK		68 GREENLEAF ROAD - SINGAPORE 279355	TERMINATED	67788595	05/04/1972	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
129	S72MC0129K			TERMINATED  - SINGAPORE 	TERMINATED		15/04/1972	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
130	S72MC0130G	WOOLLERTON PARK APARTMENT	36E WOOLLERTON PARK 257530	30 WOOLLERTON PARK - SINGAPORE 257530	ACTIVE	64669723	25/05/1972	COLLIERS INTERNATIONAL CONSULTANCY & VALUATION (S) PTE LTD	62232323		
131	S72MC0131C	MUTUAL COURT	8/A/B/C/D MAR THOMA ROAD 328694	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	TERMINATED	63345565	26/05/1972	DICKSON PROPERTY CONSULTANTS PTE LTD	63345565		
132	S72MC0132K	ENG KONG MAN (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		31/05/1972	DICKSON PROPERTY CONSULTANTS PTE LTD	63345565		
133	S72MC0133F	KISMIS LODGE		10 UBI CRESCENT 03-56 SINGAPORE 408564	ACTIVE	67424049	31/05/1972				
134	S72MC0134B	DRAGON VIEW PARK (TERMINATED)	51P JALAN MUTIARA 249204	TERMINATED JALAN MUTIARA - SINGAPORE 249220	TERMINATED	67336845	15/06/1972	KIRIN PROPERTIES & SERVICES	67336845		
135	S72MC0135J	DEVONSHIRE COURT (Terminated)	148M KILLINEY ROAD 239564	TERMINATED  - SINGAPORE 	TERMINATED		05/07/1972	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288		
136	S72MC0136E	CAVENAGH COURT	151 CAVENAGH ROAD 229628	151 CAVENAGH ROAD - SINGAPORE 229628	ACTIVE	62569333	01/08/1972	NEWMAN & GOH PROPERTY CONSULTANTS ( PTE ) LTD	62569333		
137	S72MC0137A			200 JALAN SULTAN 03-03 SINGAPORE 199018	TERMINATED		17/08/1972	PROACT BLDG MAINTENANCE SERVICES			
138	S72MC0138H			TERMINATED RAFFLES PLACE - SINGAPORE 	TERMINATED		22/08/1972	PROACT BLDG MAINTENANCE SERVICES			
139	S72MC0139D		20 JALAN LABU AYER 538032	14 JALAN LABU AYER - SINGAPORE 538026	ACTIVE	63832877	05/09/1972	MCST			
140	S72MC0140A		465E JOO CHIAT ROAD 427678	465D JOO CHIAT ROAD - SINGAPORE 427678	ACTIVE		14/09/1972	MCST			
141	S72MC0141H		467B JOO CHIAT ROAD 427678	247B TANJONG KATONG ROAD - SINGAPORE 437035	ACTIVE		14/09/1972	MCST			
142	S72MC0142D		33/A-E HONGKONG STREET 59672	33A-E HONGKONG STREET - SINGAPORE 059672	ACTIVE	65323941	18/09/1972	SINGAPORE LIVESTOCK FARMERS' ASSOCIATION	65342744		
143	S72MC0143L	CHANGI HEIGHTS		TERMINATED  - SINGAPORE 	TERMINATED		19/09/1972	SINGAPORE LIVESTOCK FARMERS ASSOCIATION	65342744		
144	S72MC0144G	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		25/09/1972	SINGAPORE LIVESTOCK FARMERS ASSOCIATION	65342744		
145	S72MC0145C	IDEAL PLACE	278B JOO CHIAT ROAD 427526	1014 GEYLANG EAST AVENUE 3 7-216 SINGAPORE 389729	ACTIVE	68440801	29/09/1972	Halley Service Pte Ltd	68440801		
146	S72MC0146K	REALTY CENTRE	16W ENGGOR STREET 79716	15 ENGGOR STREET - SINGAPORE 079716	ACTIVE	97754357	29/09/1972	CKH STRATA MANAGEMENT PTE LTD	63463238		
147	S72MC0147F	FAIRHAVEN	130T SOPHIA ROAD 228185	130J SOPHIA ROAD - SINGAPORE 228185	ACTIVE	63391556	29/09/1972	NIL			
148	S72MC0148B	GRAND BUILDING	17J PHILLIP STREET 48695	1 COLEMAN STREET 08-01 SINGAPORE 179803	ACTIVE	65354922	30/09/1972	BRITISH AND MALAYAN TRUSTEES LTD	65354922		
